#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321A1A159,,
#Date Time: 2021-04-06 15:43:00.687,,
#Sample rate: 4000Hz,,
#Samples: 8000,,
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s,,
#Channel 2: Range: 500 mV/div Offset: -1 V,,
#Math 1: Function: -1*C1,,
,,
Time (s),Channel 2 (V),Math 1 (V)
-0.175,1.028093694,4.28652788
-0.17475,1.028093694,4.296615661
-0.1745,1.028093694,4.306703441
-0.17425,1.024735122,4.323516409
-0.174,1.024735122,4.33360419
-0.17375,1.021376549,4.357142344
-0.1735,1.018017977,4.410943841
-0.17325,1.011300831,4.481558305
-0.173,1.011300831,4.498371272
-0.17275,1.011300831,4.511821646
-0.1725,1.011300831,4.521909427
-0.17225,1.011300831,4.535359801
-0.172,1.011300831,4.552172768
-0.17175,1.011300831,4.565623143
-0.1715,1.011300831,4.579073517
-0.17125,1.011300831,4.589161297
-0.171,1.011300831,4.602611671
-0.17075,1.011300831,4.616062045
-0.1705,1.011300831,4.626149826
-0.17025,1.011300831,4.6396002
-0.17,1.011300831,4.649687981
-0.16975,1.011300831,4.659775761
-0.1695,1.007942259,4.679951322
-0.16925,1.007942259,4.700126883
-0.169,1.007942259,4.713577257
-0.16875,1.011300831,4.730390225
-0.1685,1.018017977,4.730390225
-0.16825,1.021376549,4.727027632
-0.168,1.024735122,4.723665038
-0.16775,1.028093694,4.713577257
-0.1675,1.028093694,4.703489477
-0.16725,1.031452267,4.690039103
-0.167,1.034810839,4.676588729
-0.16675,1.034810839,4.679951322
-0.1665,1.034810839,4.690039103
-0.16625,1.034810839,4.703489477
-0.166,1.038169412,4.710214664
-0.16575,1.041527984,4.716939851
-0.1655,1.041527984,4.733752819
-0.16525,1.041527984,4.774103941
-0.165,1.038169412,4.844718405
-0.16475,1.041527984,4.87834434
-0.1645,1.041527984,4.888432121
-0.16425,1.041527984,4.901882495
-0.164,1.041527984,4.911970275
-0.16375,1.041527984,4.918695462
-0.1635,1.038169412,4.932145836
-0.16325,1.038169412,4.942233617
-0.163,1.038169412,4.959046584
-0.16275,1.038169412,4.989309926
-0.1625,1.041527984,4.999397707
-0.16225,1.041527984,5.009485487
-0.162,1.038169412,5.022935861
-0.16175,1.038169412,5.036386235
-0.1615,1.038169412,5.046474016
-0.16125,1.034810839,5.063286984
-0.161,1.034810839,5.073374764
-0.16075,1.038169412,5.070012171
-0.1605,1.038169412,5.073374764
-0.16025,1.031452267,5.100275512
-0.16,1.031452267,5.120451073
-0.15975,1.031452267,5.127176261
-0.1595,1.031452267,5.123813667
-0.15925,1.028093694,5.11708848
-0.159,1.028093694,5.107000699
-0.15875,1.028093694,5.103638106
-0.1585,1.031452267,5.11708848
-0.15825,1.028093694,5.133901448
-0.158,1.028093694,5.150714415
-0.15775,1.028093694,5.157439602
-0.1575,1.021376549,5.167527383
-0.15725,1.024735122,5.180977757
-0.157,1.018017977,5.207878505
-0.15675,1.014659404,5.275130375
-0.1565,1.011300831,5.322206685
-0.15625,1.011300831,5.335657059
-0.156,1.011300831,5.359195213
-0.15575,1.011300831,5.372645588
-0.1555,1.011300831,5.386095962
-0.15525,1.007942259,5.396183742
-0.155,1.011300831,5.409634116
-0.15475,1.011300831,5.42308449
-0.1545,1.011300831,5.433172271
-0.15425,1.011300831,5.446622645
-0.154,1.011300831,5.456710426
-0.15375,1.011300831,5.4701608
-0.1535,1.011300831,5.486973767
-0.15325,1.011300831,5.507149328
-0.153,1.007942259,5.52732489
-0.15275,1.004583686,5.547500451
-0.1525,1.007942259,5.560950825
-0.15225,1.007942259,5.574401199
-0.152,1.011300831,5.581126386
-0.15175,1.018017977,5.574401199
-0.1515,1.024735122,5.574401199
-0.15125,1.024735122,5.567676012
-0.151,1.028093694,5.557588231
-0.15075,1.031452267,5.540775264
-0.1505,1.031452267,5.530687483
-0.15025,1.031452267,5.523962296
-0.15,1.031452267,5.540775264
-0.14975,1.031452267,5.560950825
-0.1495,1.034810839,5.574401199
-0.14925,1.038169412,5.571038605
-0.149,1.038169412,5.581126386
-0.14875,1.044886557,5.587851573
-0.1485,1.041527984,5.645015663
-0.14825,1.038169412,5.715630127
-0.148,1.038169412,5.739168281
-0.14775,1.038169412,5.749256062
-0.1475,1.038169412,5.76606903
-0.14725,1.041527984,5.77615681
-0.147,1.038169412,5.789607184
-0.14675,1.038169412,5.806420152
-0.1465,1.038169412,5.826595713
-0.14625,1.038169412,5.843408681
-0.146,1.041527984,5.853496461
-0.14575,1.038169412,5.860221648
-0.1455,1.038169412,5.870309429
-0.14525,1.038169412,5.893847583
-0.145,1.038169412,5.910660551
-0.14475,1.038169412,5.927473519
-0.1445,1.034810839,5.937561299
-0.14425,1.034810839,5.94764908
-0.144,1.038169412,5.951011673
-0.14375,1.038169412,5.964462047
-0.1435,1.031452267,6.001450576
-0.14325,1.031452267,6.018263544
-0.143,1.028093694,6.024988731
-0.14275,1.028093694,6.018263544
-0.1425,1.028093694,6.011538357
-0.14225,1.028093694,6.001450576
-0.142,1.031452267,5.994725389
-0.14175,1.028093694,6.011538357
-0.1415,1.028093694,6.031713918
-0.14125,1.028093694,6.045164292
-0.141,1.024735122,6.061977259
-0.14075,1.024735122,6.07206504
-0.1405,1.021376549,6.085515414
-0.14025,1.018017977,6.12922913
-0.14,1.011300831,6.196481
-0.13975,1.011300831,6.226744342
-0.1395,1.011300831,6.25364509
-0.13925,1.011300831,6.270458058
-0.139,1.011300831,6.283908432
-0.13875,1.011300831,6.297358806
-0.1385,1.011300831,6.307446586
-0.13825,1.011300831,6.317534367
-0.138,1.011300831,6.324259554
-0.13775,1.011300831,6.334347335
-0.1375,1.007942259,6.351160302
-0.13725,1.011300831,6.371335863
-0.137,1.011300831,6.384786237
-0.13675,1.011300831,6.401599205
-0.1365,1.011300831,6.415049579
-0.13625,1.004583686,6.438587734
-0.136,1.004583686,6.452038108
-0.13575,1.007942259,6.465488482
-0.1355,1.007942259,6.478938856
-0.13525,1.014659404,6.48230145
-0.135,1.021376549,6.485664043
-0.13475,1.024735122,6.495751824
-0.1345,1.028093694,6.489026637
-0.13425,1.028093694,6.478938856
-0.134,1.031452267,6.465488482
-0.13375,1.031452267,6.452038108
-0.1335,1.031452267,6.448675514
